Algoritmo: Wellsh-Powell
Número cromático: 500
Primera aparición menor: 127
CantColores  CantRepeticiones
500 1
501 5
502 7
503 27
504 45
505 76
506 112
507 161
508 264
509 382
510 419
511 518
512 714
513 718
514 788
515 815
516 803
517 760
518 675
519 681
520 509
521 454
522 319
523 216
524 175
525 141
526 103
527 52
528 31
529 13
530 10
531 4
534 1
593 1
