Algoritmo: Matula
Número cromático: 527
Primera aparición menor: 101
CantColores  CantRepeticiones
527 2
528 3
529 13
530 17
531 40
532 79
533 121
534 181
535 281
536 422
537 582
538 735
539 929
540 1020
541 1012
542 951
543 886
544 764
545 634
546 483
547 367
548 211
549 126
550 70
551 33
552 17
553 8
554 9
555 3
559 1
